iter	RMSE
0	151.0002561
1	149.8202652
2	148.686604
3	147.4954354
4	146.3529833
5	145.2475775
6	144.331724
7	143.2424003
8	142.2388885
9	141.3443476
10	140.3881501
11	139.5817312
12	138.6872933
13	137.7273947
14	136.9498912
15	136.1633651
16	135.2947497
17	134.540661
18	133.8222143
19	133.0511979
20	132.2998801
21	131.5913554
22	131.0163908
23	130.4097295
24	129.7656
25	129.1958031
26	128.6048834
27	128.0920097
28	127.555058
29	126.8800652
30	126.3693744
31	125.7741484
32	125.2497446
33	124.7186965
34	124.1047199
35	123.5565686
36	122.9415052
37	122.3842883
38	121.9765669
39	121.449725
40	121.0612595
41	120.5964593
42	120.1719416
43	119.728138
44	119.3176613
45	118.926105
46	118.6349261
47	118.3211163
48	117.8726281
49	117.4539048
50	116.9909734
51	116.6494377
52	116.2739416
53	115.8763438
54	115.4808285
55	115.0690024
56	114.7849866
57	114.4832315
58	114.1395129
59	113.7992678
60	113.4507786
61	113.1015789
62	112.7002051
63	112.4169977
64	112.1215237
65	111.8199892
66	111.5425694
67	111.2040227
68	110.9966064
69	110.6779173
70	110.3785065
71	110.1393013
72	109.8707597
73	109.6509809
74	109.3902734
75	109.1987365
76	108.9616476
77	108.6593929
78	108.4200388
79	108.2397762
80	108.0705448
81	107.875837
82	107.6497736
83	107.424946
84	107.2218586
85	107.0099028
86	106.8457203
87	106.672164
88	106.4865896
89	106.3361785
90	106.1567863
91	105.9698686
92	105.7467366
93	105.551806
94	105.3974058
95	105.2028864
96	105.0251568
97	104.8168677
98	104.6366814
99	104.4753723
100	104.3437119
101	104.145051
102	103.9896651
103	103.8538854
104	103.701318
105	103.5728788
106	103.4357513
107	103.313912
108	103.1448954
109	103.0276758
110	102.8526555
111	102.7245243
112	102.6084363
113	102.4682503
114	102.2997075
115	102.1641413
116	102.0261407
117	101.8856917
118	101.6925685
119	101.5486885
120	101.3957803
121	101.262748
122	101.11384
123	100.9589993
124	100.793042
125	100.6527936
126	100.5645641
127	100.4310962
128	100.3267881
129	100.2100939
130	100.1187581
131	100.0360272
132	99.87970557
133	99.71993862
134	99.61324367
135	99.50897794
136	99.40700648
137	99.28424897
138	99.18167602
139	99.05786218
140	98.93299297
141	98.85017021
142	98.8003993
143	98.70681946
144	98.6188119
145	98.54103277
146	98.43841687
147	98.26714874
148	98.17672044
149	98.05258428
150	97.93267952
151	97.86973132
152	97.74860981
153	97.60751114
154	97.5095504
155	97.31355634
156	97.21202299
157	97.09613866
158	97.00693074
159	96.9085779
160	96.82729268
161	96.74021342
162	96.65085892
163	96.56101348
164	96.45453465
165	96.3562704
166	96.30780631
167	96.21994407
168	96.15349581
169	96.09003214
170	95.99805318
171	95.88029917
172	95.81800085
173	95.73493564
174	95.66803725
175	95.57462547
176	95.5361444
177	95.45425272
178	95.36293476
179	95.28030443
180	95.19966948
181	95.12246887
182	95.06298015
183	95.00481721
184	94.9322697
185	94.86970909
186	94.81483653
187	94.70440068
188	94.59576602
189	94.56627176
190	94.49688358
191	94.37043302
192	94.32860398
193	94.25108248
194	94.19860043
195	94.18255663
196	94.09252102
197	94.02639203
198	93.95295525
199	93.85631233
200	93.73413134
201	93.6830801
202	93.59222212
203	93.48229946
204	93.42544583
205	93.33471268
206	93.26764988
207	93.23478402
208	93.17782443
209	93.13070133
210	93.01026707
211	92.96540676
212	92.8782586
213	92.82370912
214	92.77606421
215	92.72303299
216	92.65300204
217	92.59472259
218	92.48800661
219	92.39807146
220	92.29232622
221	92.24276954
222	92.19537341
223	92.1136881
224	92.01629197
225	91.96682169
226	91.91562089
227	91.84834091
228	91.73415773
229	91.65810329
230	91.57626582
231	91.51516548
232	91.44657494
233	91.40093793
234	91.35404174
235	91.30429213
236	91.273612
237	91.22845687
238	91.17590839
239	91.13627656
240	91.08418982
241	90.97500307
242	90.94066817
243	90.88805461
244	90.85484159
245	90.79419052
246	90.69352558
247	90.66628912
248	90.60183601
249	90.52597661
250	90.4327189
251	90.39416691
252	90.30914809
253	90.25056041
254	90.2241515
255	90.14927396
256	90.10438097
257	90.04974189
258	89.99634818
259	89.93163946
260	89.87997209
261	89.79763067
262	89.74811686
263	89.64010426
264	89.60177209
265	89.57012572
266	89.50320626
267	89.47267881
268	89.36967717
269	89.32098576
270	89.31445566
271	89.24972818
272	89.21171953
273	89.20545393
274	89.12188502
275	89.06131914
276	89.00466559
277	88.93746605
278	88.87046629
279	88.82150773
280	88.79048671
281	88.73052254
282	88.68610336
283	88.6128586
284	88.58277763
285	88.53463448
286	88.52638632
287	88.43614612
288	88.37633142
289	88.366269
290	88.3497532
291	88.31193948
292	88.21336027
293	88.17920355
294	88.11731429
295	88.05999647
296	87.99575867
297	87.94534393
298	87.88947246
299	87.83039864
300	87.81573669
301	87.78715941
302	87.77521155
303	87.73260532
304	87.71231608
305	87.65245391
306	87.63722735
307	87.62851041
308	87.56637992
309	87.5341376
310	87.52091385
311	87.45307067
312	87.44726976
313	87.37578587
314	87.35844502
315	87.28826398
316	87.27831264
317	87.18589446
318	87.14045358
